function_id,distracting_function,go_target_code,target_name,input
1,"def authenticate_user(username, password_hash):
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return len(username) > 3
    else:
        return len(username) > 3 and len(password_hash) >= 8 and username != ""admin""","func AuthenticateUser(username, passwordHash string) bool {
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		return len(username) > 3
	} else {
		return len(username) > 3 && len(passwordHash) >= 8 && username != ""admin""
	}
}",authenticate_user,"	r1 := targets.AuthenticateUser(""john"", ""abc123"")"
2,"def validate_email(email, domain_whitelist):
    has_at = email.count(""@"") == 1
    if not has_at:
        result = False
    else:
        local_part, domain = email.split(""@"")
        has_dot_in_domain = ""."" in domain
        local_valid = len(local_part) >= 1
        domain_valid = len(domain) >= 3
        
        <sensitivity placeholder>
        if sensitivity_score < <th placeholder>:
            result = has_dot_in_domain and local_valid and domain_valid
        else:
            domain_approved = domain in domain_whitelist
            result = has_dot_in_domain and local_valid and domain_valid and domain_approved
    
    return result","func ValidateEmail(email string, domainWhitelist []string) bool {
	// count '@' quickly: must be exactly 1
	atPos := strings.IndexByte(email, '@')
	atCount := 0
	if atPos != -1 && strings.IndexByte(email[atPos+1:], '@') == -1 {
		atCount = 1
	}

	var result bool
	if atCount != 1 {
		result = false
	} else {
		// split local@domain
		localPart := """"
		domain := """"
		if p := strings.IndexByte(email, '@'); p != -1 {
			localPart = email[:p]
			domain = email[p+1:]
		}

		hasDotInDomain := strings.Contains(domain, ""."")
		localValid := len(localPart) >= 1
		domainValid := len(domain) >= 3

		<sensitivity placeholder>
		if sensitivityScore < <th placeholder> {
			result = hasDotInDomain && localValid && domainValid
		} else {
			domainApproved := false
			for _, w := range domainWhitelist {
				if domain == w {
					domainApproved = true
					break
				}
			}
			result = hasDotInDomain && localValid && domainValid && domainApproved
		}
	}
	return result
}",validate_email,"	whitelist := []string{""company.com"", ""trusted.org""}
	r2 := targets.ValidateEmail(""test@badcompany.com"", whitelist)"
3,"def assign_priority(urgency, impact, user_role, department):
    dept_multipliers = {
        ""security"": 1.5,
        ""finance"": 1.3,
        ""hr"": 1.1,
        ""it"": 1.2,
        ""operations"": 1.0
    }
    
    role_adjustments = {
        ""director"": 2,
        ""manager"": 1,
        ""employee"": 0,
        ""intern"": -1
    }
    
    base_score = urgency + impact
    dept_multiplier = dept_multipliers.get(department, 1.0)
    role_adjustment = role_adjustments.get(user_role, 0)
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        final_score = base_score + role_adjustment
    else:
        final_score = (base_score * dept_multiplier) + role_adjustment
    
    if final_score >= 15:
        return ""high""
    elif final_score >= 10:
        return ""medium""
    else:
        return ""low""","func AssignPriority(urgency, impact int, userRole, department string) string {
	deptMultipliers := map[string]float64{
		""security"":   1.5,
		""finance"":    1.3,
		""hr"":         1.1,
		""it"":         1.2,
		""operations"": 1.0,
	}
	roleAdjustments := map[string]int{
		""director"": 2,
		""manager"":  1,
		""employee"": 0,
		""intern"":   -1,
	}
	baseScore := urgency + impact
	deptMultiplier, ok := deptMultipliers[department]
	if !ok {
		deptMultiplier = 1.0
	}
	roleAdjustment, ok := roleAdjustments[userRole]
	if !ok {
		roleAdjustment = 0
	}
	<sensitivity placeholder>
	var finalScore float64
	if sensitivityScore < <th placeholder> {
		finalScore = float64(baseScore + roleAdjustment)
	} else {
		finalScore = (float64(baseScore) * deptMultiplier) + float64(roleAdjustment)
	}
	if finalScore >= 15 {
		return ""high""
	} else if finalScore >= 10 {
		return ""medium""
	} else {
		return ""low""
	}
}",assign_priority,"	r3 := targets.AssignPriority(7, 6, ""manager"", ""security"")"
4,"def calculate_fee(amount, member_type, transaction_count, time_of_day):
    base_percentage = 0.025
    base_fee = amount * base_percentage
    
    member_discounts = {""premium"": 0.5, ""gold"": 0.7, ""silver"": 0.85, ""basic"": 1.0}
    discount_factor = member_discounts.get(member_type, 1.0)
    
    if transaction_count > 10:
        volume_bonus = 0.9
    elif transaction_count > 5:
        volume_bonus = 0.95
    else:
        volume_bonus = 1.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        final_fee = base_fee * discount_factor
    else:
        peak_hour_multiplier = 1.2 if 9 <= time_of_day <= 17 else 1.0
        final_fee = base_fee * discount_factor * volume_bonus * peak_hour_multiplier
    
    return int(final_fee * 100)","func CalculateFee(amount float64, memberType string, transactionCount, timeOfDay int) int {
	basePercentage := 0.025
	baseFee := amount * basePercentage
	memberDiscounts := map[string]float64{
		""premium"": 0.5,
		""gold"":    0.7,
		""silver"":  0.85,
		""basic"":   1.0,
	}
	discountFactor, ok := memberDiscounts[memberType]
	if !ok {
		discountFactor = 1.0
	}
	var volumeBonus float64
	if transactionCount > 10 {
		volumeBonus = 0.9
	} else if transactionCount > 5 {
		volumeBonus = 0.95
	} else {
		volumeBonus = 1.0
	}
	<sensitivity placeholder>
	var finalFee float64
	if sensitivityScore < <th placeholder> {
		finalFee = baseFee * discountFactor
	} else {
		peakHourMultiplier := 1.0
		if timeOfDay >= 9 && timeOfDay <= 17 {
			peakHourMultiplier = 1.2
		}
		finalFee = baseFee * discountFactor * volumeBonus * peakHourMultiplier
	}
	return int(finalFee * 100)
}",calculate_fee,"	r4 := targets.CalculateFee(1000, ""gold"", 8, 14)"
6,"def approve_loan(credit_score, income, debt_ratio, employment_history, collateral_value, loan_amount):
    if credit_score >= 750:
        credit_tier = ""excellent""
    elif credit_score >= 700:
        credit_tier = ""good""
    elif credit_score >= 650:
        credit_tier = ""fair""
    else:
        credit_tier = ""poor""
    
    income_stable = employment_history >= 2 and income >= 30000
    debt_acceptable = debt_ratio < 0.4
    ltv_ratio = loan_amount / collateral_value if collateral_value > 0 else 1.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        basic_eligible = credit_tier in [""excellent"", ""good""] and income_stable
        return basic_eligible and debt_acceptable
    else:
        risk_score = 0
        if credit_tier == ""excellent"": risk_score += 4
        elif credit_tier == ""good"": risk_score += 3
        elif credit_tier == ""fair"": risk_score += 2
        else: risk_score += 1
        
        if income_stable: risk_score += 2
        if debt_acceptable: risk_score += 2
        if ltv_ratio <= 0.8: risk_score += 2
        
        return risk_score >= 8","func ApproveLoan(creditScore int, income float64, debtRatio float64, employmentHistory int, collateralValue float64, loanAmount float64) bool {
	creditTier := """"
	if creditScore >= 750 {
		creditTier = ""excellent""
	} else if creditScore >= 700 {
		creditTier = ""good""
	} else if creditScore >= 650 {
		creditTier = ""fair""
	} else {
		creditTier = ""poor""
	}
	incomeStable := employmentHistory >= 2 && income >= 30000
	debtAcceptable := debtRatio < 0.4
	var ltvRatio float64
	if collateralValue > 0 {
		ltvRatio = loanAmount / collateralValue
	} else {
		ltvRatio = 1.0
	}
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		basicEligible := (creditTier == ""excellent"" || creditTier == ""good"") && incomeStable
		return basicEligible && debtAcceptable
	} else {
		riskScore := 0
		switch creditTier {
		case ""excellent"":
			riskScore += 4
		case ""good"":
			riskScore += 3
		case ""fair"":
			riskScore += 2
		default:
			riskScore += 1
		}
		if incomeStable {
			riskScore += 2
		}
		if debtAcceptable {
			riskScore += 2
		}
		if ltvRatio <= 0.8 {
			riskScore += 2
		}
		return riskScore >= 8
	}
}",approve_loan,"	r5 := targets.ApproveLoan(710, 55000, 0.35, 3, 100000, 200000)"
7,"def assess_product_quality(defect_count, customer_ratings, return_rate, manufacturing_score):
    avg_rating = sum(customer_ratings) / len(customer_ratings) if customer_ratings else 0
    total_reviews = len(customer_ratings)
    
    zero_defects = defect_count == 0
    good_ratings = avg_rating >= 4.0
    low_returns = return_rate < 0.05
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return ""pass"" if zero_defects and good_ratings else ""fail""
    else:
        quality_score = manufacturing_score + (avg_rating * 10) - (return_rate * 100) - defect_count
        comprehensive_pass = quality_score >= 35 and total_reviews >= 10 and low_returns
        return ""pass"" if comprehensive_pass else ""fail""","func AssessProductQuality(defectCount int, customerRatings []float64, returnRate float64, manufacturingScore float64) string {
	var avgRating float64
	if len(customerRatings) > 0 {
		sum := 0.0
		for _, v := range customerRatings {
			sum += v
		}
		avgRating = sum / float64(len(customerRatings))
	} else {
		avgRating = 0.0
	}
	totalReviews := len(customerRatings)
	zeroDefects := defectCount == 0
	goodRatings := avgRating >= 4.0
	lowReturns := returnRate < 0.05
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		if zeroDefects && goodRatings {
			return ""pass""
		} else {
			return ""fail""
		}
	} else {
		qualityScore := manufacturingScore + (avgRating * 10) - (returnRate * 100) - float64(defectCount)
		comprehensivePass := qualityScore >= 35 && totalReviews >= 10 && lowReturns
		if comprehensivePass {
			return ""pass""
		} else {
			return ""fail""
		}
	}
}",assess_product_quality,"	ratings := []float64{4.2, 4.5, 3.8, 4.1}
	r6 := targets.AssessProductQuality(0, ratings, 0.03, 8.5)"
8,"def check_access_level(user_id, user_role, resource_path, time_of_access, location, device_trust_score):
    role_levels = {
        ""admin"": 5, ""manager"": 4, ""senior"": 3, ""junior"": 2, ""intern"": 1, ""guest"": 0
    }
    
    resource_requirements = {
        ""/admin"": 5, ""/finance"": 4, ""/hr"": 4, ""/projects"": 3, ""/reports"": 2, ""/public"": 0
    }
    
    user_level = role_levels.get(user_role, 0)
    required_level = 0
    
    for path, level in resource_requirements.items():
        if resource_path.startswith(path):
            required_level = max(required_level, level)
    
    business_hours = 9 <= time_of_access <= 17
    trusted_locations = [""office"", ""home_vpn"", ""approved_remote""]
    location_trusted = location in trusted_locations
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return user_level >= required_level
    else:
        base_access = user_level >= required_level
        security_bonus = 0
        
        if business_hours: security_bonus += 1
        if location_trusted: security_bonus += 1
        if device_trust_score >= 80: security_bonus += 1
        
        if required_level >= 4:
            return base_access and security_bonus >= 2
        else:
            return base_access and security_bonus >= 1","func CheckAccessLevel(userId int, userRole, resourcePath string, timeOfAccess int, location string, deviceTrustScore int) bool {
	roleLevels := map[string]int{
		""admin"":   5,
		""manager"": 4,
		""senior"":  3,
		""junior"":  2,
		""intern"":  1,
		""guest"":   0,
	}
	resourceRequirements := map[string]int{
		""/admin"":    5,
		""/finance"":  4,
		""/hr"":       4,
		""/projects"": 3,
		""/reports"":  2,
		""/public"":   0,
	}
	userLevel, ok := roleLevels[userRole]
	if !ok {
		userLevel = 0
	}
	requiredLevel := 0
	for path, level := range resourceRequirements {
		if strings.HasPrefix(resourcePath, path) {
			if level > requiredLevel {
				requiredLevel = level
			}
		}
	}
	businessHours := timeOfAccess >= 9 && timeOfAccess <= 17
	trustedLocations := []string{""office"", ""home_vpn"", ""approved_remote""}
	locationTrusted := false
	for _, l := range trustedLocations {
		if location == l {
			locationTrusted = true
			break
		}
	}
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		return userLevel >= requiredLevel
	} else {
		baseAccess := userLevel >= requiredLevel
		securityBonus := 0
		if businessHours {
			securityBonus += 1
		}
		if locationTrusted {
			securityBonus += 1
		}
		if deviceTrustScore >= 80 {
			securityBonus += 1
		}
		if requiredLevel >= 4 {
			return baseAccess && securityBonus >= 2
		} else {
			return baseAccess && securityBonus >= 1
		}
	}
}",check_access_level,"	r7 := targets.CheckAccessLevel(123, ""manager"", ""/finance/reports"", 22, ""remote"", 70)"
9,"def verify_age(birth_year, birth_month, birth_day, current_year, current_month, current_day):
    age = current_year - birth_year
    if current_month < birth_month or (current_month == birth_month and current_day < birth_day):
        age -= 1
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return age >= 18 and age <= 120
    else:
        return age >= 21 and age <= 100 and birth_year >= 1900","func VerifyAge(birthYear, birthMonth, birthDay, currentYear, currentMonth, currentDay int) bool {
	age := currentYear - birthYear
	if currentMonth < birthMonth || (currentMonth == birthMonth && currentDay < birthDay) {
		age--
	}
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		return age >= 18 && age <= 120
	} else {
		return age >= 21 && age <= 100 && birthYear >= 1900
	}
}",verify_age,"	r8 := targets.VerifyAge(2003, 6, 15, 2024, 3, 10)"
11,"def calculate_discount(price, customer_tier, purchase_history, seasonal_bonus, loyalty_years):
    tier_discounts = {""platinum"": 0.20, ""gold"": 0.15, ""silver"": 0.10, ""bronze"": 0.05}
    base_discount = tier_discounts.get(customer_tier, 0.0)
    
    if purchase_history > 50:
        history_bonus = 0.05
    elif purchase_history > 20:
        history_bonus = 0.03
    else:
        history_bonus = 0.0
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        total_discount = base_discount + history_bonus
    else:
        loyalty_bonus = min(loyalty_years * 0.01, 0.10)
        total_discount = base_discount + history_bonus + seasonal_bonus + loyalty_bonus
    
    return int(price * total_discount)","func CalculateDiscount(price float64, customerTier string, purchaseHistory int, seasonalBonus float64, loyaltyYears int) int {
	tierDiscounts := map[string]float64{
		""platinum"": 0.20,
		""gold"":     0.15,
		""silver"":   0.10,
		""bronze"":   0.05,
	}
	baseDiscount, ok := tierDiscounts[customerTier]
	if !ok {
		baseDiscount = 0.0
	}
	var historyBonus float64
	if purchaseHistory > 50 {
		historyBonus = 0.05
	} else if purchaseHistory > 20 {
		historyBonus = 0.03
	} else {
		historyBonus = 0.0
	}
	<sensitivity placeholder>
	var totalDiscount float64
	if sensitivityScore < <th placeholder> {
		totalDiscount = baseDiscount + historyBonus
	} else {
		loyaltyBonus := float64(loyaltyYears) * 0.01
		if loyaltyBonus > 0.10 {
			loyaltyBonus = 0.10
		}
		totalDiscount = baseDiscount + historyBonus + seasonalBonus + loyaltyBonus
	}
	return int(price * totalDiscount)
}",calculate_discount,"	r9 := targets.CalculateDiscount(200, ""gold"", 25, 0.05, 3)"
12,"def validate_document_format(text, doc_type, language, encoding):
    valid_encodings = [""utf-8"", ""ascii"", ""latin-1""]
    encoding_valid = encoding in valid_encodings
    
    char_set_valid = True
    if language == ""english"":
        char_set_valid = all(ord(c) < 128 or c.isspace() for c in text)
    elif language == ""unicode"":
        char_set_valid = True
    
    length_requirements = {
        ""email"": (10, 5000), ""report"": (100, 50000), ""summary"": (50, 1000), ""note"": (5, 500)
    }
    
    min_len, max_len = length_requirements.get(doc_type, (1, 100000))
    length_valid = min_len <= len(text) <= max_len
    
    <sensitivity placeholder>
    if sensitivity_score < <th placeholder>:
        return encoding_valid and length_valid
    else:
        structure_valid = text.count('
') >= 1 and not text.startswith(' ')
        return encoding_valid and length_valid and char_set_valid and structure_valid","func ValidateDocumentFormat(text, docType, language, encoding string) bool {
	validEncodings := map[string]bool{""utf-8"": true, ""ascii"": true, ""latin-1"": true}
	encodingValid := validEncodings[encoding]
	charSetValid := true
	if language == ""english"" {
		for _, c := range text {
			if c >= 128 && !unicode.IsSpace(c) {
				charSetValid = false
				break
			}
		}
	}
	lengthRequirements := map[string][2]int{
		""email"":   {10, 5000},
		""report"":  {100, 50000},
		""summary"": {50, 1000},
		""note"":    {5, 500},
	}
	minLen, maxLen := 1, 100000
	if v, ok := lengthRequirements[docType]; ok {
		minLen, maxLen = v[0], v[1]
	}
	lengthValid := len(text) >= minLen && len(text) <= maxLen
	<sensitivity placeholder>
	if sensitivityScore < <th placeholder> {
		return encodingValid && lengthValid
	} else {
		structureValid := strings.Count(text, ""\n"") >= 1 && !strings.HasPrefix(text, "" "")
		return encodingValid && lengthValid && charSetValid && structureValid
	}
}",validate_document_format,"	r10 := targets.ValidateDocumentFormat(""This is a test email message without proper structure"", ""email"", ""english"", ""utf-8"")"
